"global_step","15 - _step","15 - _step__MIN","15 - _step__MAX","15 - charts/state_entropy","15 - charts/state_entropy__MIN","15 - charts/state_entropy__MAX","19 - _step","19 - _step__MIN","19 - _step__MAX","19 - charts/state_entropy","19 - charts/state_entropy__MIN","19 - charts/state_entropy__MAX","18 - _step","18 - _step__MIN","18 - _step__MAX","18 - charts/state_entropy","18 - charts/state_entropy__MIN","18 - charts/state_entropy__MAX","17 - _step","17 - _step__MIN","17 - _step__MAX","17 - charts/state_entropy","17 - charts/state_entropy__MIN","17 - charts/state_entropy__MAX","20 - _step","20 - _step__MIN","20 - _step__MAX","20 - charts/state_entropy","20 - charts/state_entropy__MIN","20 - charts/state_entropy__MAX","16 - _step","16 - _step__MIN","16 - _step__MAX","16 - charts/state_entropy","16 - charts/state_entropy__MIN","16 - charts/state_entropy__MAX","10 - _step","10 - _step__MIN","10 - _step__MAX","10 - charts/state_entropy","10 - charts/state_entropy__MIN","10 - charts/state_entropy__MAX","12 - _step","12 - _step__MIN","12 - _step__MAX","12 - charts/state_entropy","12 - charts/state_entropy__MIN","12 - charts/state_entropy__MAX","8 - _step","8 - _step__MIN","8 - _step__MAX","8 - charts/state_entropy","8 - charts/state_entropy__MIN","8 - charts/state_entropy__MAX","9 - _step","9 - _step__MIN","9 - _step__MAX","9 - charts/state_entropy","9 - charts/state_entropy__MIN","9 - charts/state_entropy__MAX"
"67200","21","21","21","0.0628448873758316","0.0628448873758316","0.0628448873758316","21","21","21","0.02440863847732544","0.02440863847732544","0.02440863847732544","21","21","21","0.046807870268821716","0.046807870268821716","0.046807870268821716","21","21","21","0.03148098289966583","0.03148098289966583","0.03148098289966583","21","21","21","0.04718213528394699","0.04718213528394699","0.04718213528394699","21","21","21","0.055792033672332764","0.055792033672332764","0.055792033672332764","21","21","21","0.04677232354879379","0.04677232354879379","0.04677232354879379","21","21","21","0.04754041135311127","0.04754041135311127","0.04754041135311127","21","21","21","0.02317976951599121","0.02317976951599121","0.02317976951599121","21","21","21","0.05213254317641258","0.05213254317641258","0.05213254317641258"
"70400","22","22","22","0.06798794865608215","0.06798794865608215","0.06798794865608215","22","22","22","0.026626545935869217","0.026626545935869217","0.026626545935869217","22","22","22","0.041689224541187286","0.041689224541187286","0.041689224541187286","22","22","22","0.02804768830537796","0.02804768830537796","0.02804768830537796","22","22","22","0.049659959971904755","0.049659959971904755","0.049659959971904755","22","22","22","0.054257627576589584","0.054257627576589584","0.054257627576589584","22","22","22","0.04605492949485779","0.04605492949485779","0.04605492949485779","22","22","22","0.050357334315776825","0.050357334315776825","0.050357334315776825","22","22","22","0.021851588040590286","0.021851588040590286","0.021851588040590286","22","22","22","0.05289389193058014","0.05289389193058014","0.05289389193058014"
"73600","23","23","23","0.06205032765865326","0.06205032765865326","0.06205032765865326","23","23","23","0.025192592293024063","0.025192592293024063","0.025192592293024063","23","23","23","0.04813409224152565","0.04813409224152565","0.04813409224152565","23","23","23","0.03060821443796158","0.03060821443796158","0.03060821443796158","23","23","23","0.05518077313899994","0.05518077313899994","0.05518077313899994","23","23","23","0.04981734976172447","0.04981734976172447","0.04981734976172447","23","23","23","0.049791526049375534","0.049791526049375534","0.049791526049375534","23","23","23","0.05019494146108627","0.05019494146108627","0.05019494146108627","23","23","23","0.022186219692230225","0.022186219692230225","0.022186219692230225","23","23","23","0.054044947028160095","0.054044947028160095","0.054044947028160095"
"76800","24","24","24","0.07905043661594391","0.07905043661594391","0.07905043661594391","24","24","24","0.023709388449788094","0.023709388449788094","0.023709388449788094","24","24","24","0.05010945722460747","0.05010945722460747","0.05010945722460747","24","24","24","0.033885449171066284","0.033885449171066284","0.033885449171066284","24","24","24","0.0503619983792305","0.0503619983792305","0.0503619983792305","24","24","24","0.0566641166806221","0.0566641166806221","0.0566641166806221","24","24","24","0.05636013299226761","0.05636013299226761","0.05636013299226761","24","24","24","0.048944223672151566","0.048944223672151566","0.048944223672151566","24","24","24","0.023836031556129456","0.023836031556129456","0.023836031556129456","24","24","24","0.050896041095256805","0.050896041095256805","0.050896041095256805"
"80000","25","25","25","0.06755916029214859","0.06755916029214859","0.06755916029214859","25","25","25","0.02902066335082054","0.02902066335082054","0.02902066335082054","25","25","25","0.055483367294073105","0.055483367294073105","0.055483367294073105","25","25","25","0.03275494650006294","0.03275494650006294","0.03275494650006294","25","25","25","0.046801045536994934","0.046801045536994934","0.046801045536994934","25","25","25","0.05855602025985718","0.05855602025985718","0.05855602025985718","25","25","25","0.05413506180047989","0.05413506180047989","0.05413506180047989","25","25","25","0.04795683175325394","0.04795683175325394","0.04795683175325394","25","25","25","0.02512071095407009","0.02512071095407009","0.02512071095407009","25","25","25","0.04526325315237045","0.04526325315237045","0.04526325315237045"
"83200","26","26","26","0.05756614729762077","0.05756614729762077","0.05756614729762077","26","26","26","0.025988146662712097","0.025988146662712097","0.025988146662712097","26","26","26","0.05465497076511383","0.05465497076511383","0.05465497076511383","26","26","26","0.030663639307022095","0.030663639307022095","0.030663639307022095","26","26","26","0.05031253397464752","0.05031253397464752","0.05031253397464752","26","26","26","0.05567477270960808","0.05567477270960808","0.05567477270960808","26","26","26","0.05800841003656387","0.05800841003656387","0.05800841003656387","26","26","26","0.05105345696210861","0.05105345696210861","0.05105345696210861","26","26","26","0.023613691329956055","0.023613691329956055","0.023613691329956055","26","26","26","0.054435499012470245","0.054435499012470245","0.054435499012470245"
"86400","27","27","27","0.07076774537563324","0.07076774537563324","0.07076774537563324","27","27","27","0.02910374477505684","0.02910374477505684","0.02910374477505684","27","27","27","0.04825606942176819","0.04825606942176819","0.04825606942176819","27","27","27","0.033650875091552734","0.033650875091552734","0.033650875091552734","27","27","27","0.053639378398656845","0.053639378398656845","0.053639378398656845","27","27","27","0.0574982613325119","0.0574982613325119","0.0574982613325119","27","27","27","0.053598660975694656","0.053598660975694656","0.053598660975694656","27","27","27","0.050575125962495804","0.050575125962495804","0.050575125962495804","27","27","27","0.02131633833050728","0.02131633833050728","0.02131633833050728","27","27","27","0.051739029586315155","0.051739029586315155","0.051739029586315155"
"89600","28","28","28","0.07290250062942505","0.07290250062942505","0.07290250062942505","28","28","28","0.025391481816768646","0.025391481816768646","0.025391481816768646","28","28","28","0.0507279708981514","0.0507279708981514","0.0507279708981514","28","28","28","0.03127417713403702","0.03127417713403702","0.03127417713403702","28","28","28","0.04729507863521576","0.04729507863521576","0.04729507863521576","28","28","28","0.06165456771850586","0.06165456771850586","0.06165456771850586","28","28","28","0.04911313205957413","0.04911313205957413","0.04911313205957413","28","28","28","0.05724316090345383","0.05724316090345383","0.05724316090345383","28","28","28","0.022632740437984467","0.022632740437984467","0.022632740437984467","28","28","28","0.05335303768515587","0.05335303768515587","0.05335303768515587"
"92800","29","29","29","0.06522645056247711","0.06522645056247711","0.06522645056247711","29","29","29","0.026587646454572678","0.026587646454572678","0.026587646454572678","29","29","29","0.05105028301477432","0.05105028301477432","0.05105028301477432","29","29","29","0.031165115535259247","0.031165115535259247","0.031165115535259247","29","29","29","0.054996710270643234","0.054996710270643234","0.054996710270643234","29","29","29","0.05322284251451492","0.05322284251451492","0.05322284251451492","29","29","29","0.053997162729501724","0.053997162729501724","0.053997162729501724","29","29","29","0.05633620172739029","0.05633620172739029","0.05633620172739029","29","29","29","0.02423963136970997","0.02423963136970997","0.02423963136970997","29","29","29","0.05221196636557579","0.05221196636557579","0.05221196636557579"
"96000","30","30","30","0.06846705079078674","0.06846705079078674","0.06846705079078674","30","30","30","0.028801875188946724","0.028801875188946724","0.028801875188946724","30","30","30","0.04825612157583237","0.04825612157583237","0.04825612157583237","30","30","30","0.037725284695625305","0.037725284695625305","0.037725284695625305","30","30","30","0.05486670881509781","0.05486670881509781","0.05486670881509781","30","30","30","0.052382007241249084","0.052382007241249084","0.052382007241249084","30","30","30","0.054268889129161835","0.054268889129161835","0.054268889129161835","30","30","30","0.05400048568844795","0.05400048568844795","0.05400048568844795","30","30","30","0.024004492908716202","0.024004492908716202","0.024004492908716202","30","30","30","0.04136298596858978","0.04136298596858978","0.04136298596858978"
